t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5.0,4.5,1.2,0.0,0.0,0.0,0.81001,-0.0,0.0,-0.58642,0.0,0.0,0.0,0,0,0,0,0,0,0.694667613008283,6.878994766643254,6.878987912156595,3.7916066550287355,0,0,0,0,0,0
0.015228131531383563,-5.000000109374474,4.4999501357360945,1.201350900596081,1.2826997949790005e-05,-0.013086020330610189,0.17702824941631629,0.8116300723527846,0.048742106355101796,0.03511203210468814,-0.5810748470912857,4.928271373465613,14.999994060079679,1.3870732557511776,0,0,0,0,0,0,6.878996247758491,6.878973160169523,6.834900442677607,6.878993366136478,0,0,0,0,0,0
0.030456263062767126,-4.999993150159284,4.499006239925551,1.206576225630604,0.0014005989799614224,-0.12993304113130752,0.5045744576826626,0.8060384065980074,0.1448805174912582,0.10540010896299931,-0.5640944422443802,4.779240208440682,14.99999303660445,1.3673324022031934,0,0,0,0,0,0,6.878997555788223,6.878339304795397,6.8374903938059886,6.878995646382437,0,0,0,0,0,0
0.04568439459415069,-4.9999335485622405,4.495433754718284,1.216507964918817,0.007478458345470559,-0.35658870186361086,0.7907877098135138,0.7888754211857357,0.2379913086524251,0.17482887321138774,-0.5389532186995182,4.628044779735894,14.999988522064182,1.3490358826107538,0,0,0,0,0,0,6.8789979381397615,6.838889475225129,6.878879466401519,6.878996460572829,0,0,0,0,0,0
0.06091252612553425,-4.999724975686202,4.487655100735979,1.2303249137546344,0.021528955228134295,-0.6796221529687755,1.0110571054938005,0.7607835209745372,0.32639766109621043,0.24262315945221927,-0.5057736682963361,4.346310980543915,14.999971186454124,1.366946186875146,0,0,0,0,0,0,6.878998103859842,6.840952411485815,6.878797041558709,6.878996917466834,0,0,0,0,0,0
0.07614065765691781,-4.999219868918708,4.474341052862033,1.2468613304612928,0.046970106598828984,-1.080029470092994,1.1449685430231515,0.7226278325540174,0.4085661755265385,0.3080036345286197,-0.4647757060680572,4.065256574462524,14.99985987729752,1.3838957438739057,0,0,0,0,0,0,6.878998147760866,2.82384310433536,6.4315914491141175,6.878997061119411,0,0,0,0,0,0
0.09136878918830138,-4.998257383819134,4.4550538009413145,1.264464993913336,0.0830606748210285,-1.4573450842229116,1.1564997414405402,0.6978818409528473,0.45831609088554187,0.3583986242848719,-0.4176813654143209,-2.0174524152445423,7.742609914155128,2.9997560314887077,0,0,0,0,0,0,6.878998113917246,4.984161199230449,4.445513454641635,6.878996971628626,0,0,0,0,0,0
0.10659692071968495,-4.996555866785266,4.429875779577893,1.2818860917639971,0.14379658176357318,-1.8499754675842957,1.128194761334585,0.7007002972841839,0.47051348699893125,0.3756627841885716,-0.38277098180720737,-1.2784356914172994,0.7002462764624636,2.758502616823916,0,0,0,0,0,0,6.878998051873978,6.87870721191642,6.878874572319815,6.878996696198223,0,0,0,0,0,0
0.12182505225106852,-4.993714752414889,4.398154076162036,1.2989591360926036,0.23113766060528898,-2.31592216213192,1.1139836403086167,0.7112099479027663,0.4733809540560306,0.3730625626025841,-0.36182206500646136,-1.2987335883998279,0.6616854147861413,2.758576968054132,0,0,0,0,0,0,6.878997973061332,6.878881782486749,6.878957198468956,6.878996264147526,0,0,0,0,0,0
0.13705318378245207,-4.989461740334902,4.359351689034451,1.3158118245592674,0.32921972482415024,-2.779849070284183,1.099368781936541,0.721498998757104,0.4757685694316232,0.37009654863100067,-0.34075212079296696,-1.3177475451682223,0.6229620525344984,2.7586099804344966,0,0,0,0,0,0,6.87899787654228,6.878935592460116,6.8789768389673185,6.87899562518349,0,0,0,0,0,0
0.15228131531383562,-4.983633864384797,4.313502756983888,1.3324432366924726,0.4379541229121335,-3.2413143105862674,1.0850364864540227,0.7315573655658045,0.47768562310672663,0.36675550493847225,-0.31957888847807936,-1.3355623687856906,0.5838166380283292,2.758627445824177,0,0,0,0,0,0,6.878997758969489,6.878959081273662,6.878984565738398,6.878994688282146,0,0,0,0,0,0
0.16750944684521918,-4.976069959853396,4.26064802449911,1.3488628902156623,0.5571930190318276,-3.699892535069156,1.0716709517920053,0.7413755074581785,0.47914142775724083,0.36303006724249454,-0.29832033022539894,-1.3521952596913214,0.5442166307285801,2.758637484646244,0,0,0,0,0,0,6.878997616335816,6.878971375789153,6.878988371543859,6.878993292050829,0,0,0,0,0,0
0.18273757837660273,-4.966611561425344,4.200834588669708,1.3650906825979452,0.6867298930919689,-4.15517513675872,1.059950637641389,0.7509438664583807,0.48014588119939916,0.3589114069943119,-0.2769943034164306,-1.3676454195908139,0.5041732482896303,2.7586431600229373,0,0,0,0,0,0,6.8789974437377035,6.878978582896243,6.878990475244327,6.8789911403428725,0,0,0,0,0,0
0.1979657099079863,-4.95510378866094,4.134115629843148,1.3811567760676322,0.826300666438943,-4.60677213672497,1.0505446103662255,0.7602527470843202,0.48070957150568905,0.3543913920038854,-0.25561848463503195,-1.381906794527559,0.463711716166978,2.758645663238092,0,0,0,0,0,0,6.878997235078007,6.87898314741436,6.878991693660216,6.878987655095034,0,0,0,0,0,0
